Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Bart van Hintum,Heracles Almelo,Eredivisie,Holland,31,177,76
Yamilson Rivera,América de Cali,Liga Dimayor,Colombia,29,173,68
Diego Herner,América de Cali,Liga Dimayor,Argentina,35,186,83
Vincent Vermeij,Heracles Almelo,Eredivisie,Holland,24,196,91
Ánderson Zapata,América de Cali,Liga Dimayor,Colombia,33,183,79
Mohammed Osman,Heracles Almelo,Eredivisie,Syria,24,183,78
Tim Breukers,Heracles Almelo,Eredivisie,Holland,30,182,77
Felipe Banguero,Millonarios FC,Liga Dimayor,Colombia,29,184,74
Rodrigo Noya,Tiburones Rojos de Veracruz,LIGA Bancomer MX,Argentina,28,194,88
Melitón Hernández,Tiburones Rojos de Veracruz,LIGA Bancomer MX,Mexico,35,182,82
Guido Milan,Tiburones Rojos de Veracruz,LIGA Bancomer MX,Argentina,31,194,92
Romano Perticone,Salerno,Calcio B,Italy,32,184,76
Francesco Orlando,Salerno,Calcio B,Italy,22,168,65
Francesco Di Tacchio,Salerno,Calcio B,Italy,28,186,81
Juan Muñiz Gallego,CD Lugo,LaLiga 1 I 2 I 3,Spain,26,178,74
Jean-Marie Dongou Tsafack,CD Lugo,LaLiga 1 I 2 I 3,Cameroon,23,176,70
Arthur Yannick Gomis,Racing Club de Lens,Dominos Ligue 2,Senegal,26,180,76
Roberto Santamaría Ciprián,SD Huesca,LaLiga Santander,Spain,33,183,75
Moussa Maâzou,Racing Club de Lens,Dominos Ligue 2,Niger,30,187,80
Jérémy Vachoux,Racing Club de Lens,Dominos Ligue 2,France,24,183,78
Michele Fornasier,Pescara,Calcio B,Italy,25,186,80
José Machín,Pescara,Calcio B,Equatorial Guinea,22,184,74
Marco Perrotta,Pescara,Calcio B,Italy,24,184,78
Ignacio Agustín Sánchez Romo,CD Numancia,LaLiga 1 I 2 I 3,Spain,25,177,70
Chai Min Lim,Sangju Sangmu FC,K LEAGUE Classic,Korea Republic,27,189,83
Álvaro Tejero Sacristán,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,22,174,69
Rey Manaj,Albacete Bpie,LaLiga 1 I 2 I 3,Albania,21,182,76
Jon Erice Dominguez,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,31,177,72
Jesús María Herrero Gómez,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,34,183,75
José Antonio Caro Díaz,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,24,194,88
Javier Acuña,Albacete Bpie,LaLiga 1 I 2 I 3,Paraguay,30,175,75
José Valencia,CD Feirense,Liga NOS,Colombia,26,186,83
Stephen Quinn,Burton Albion,EFL League One,Republic of Ireland,32,168,60
Lucas Akins,Burton Albion,EFL League One,England,29,178,79
Onur Bulut,Eintracht Braunschweig,3. Liga,Germany,24,179,69
Philipp Förster,SV Sandhausen,Bundesliga 2,Germany,23,188,82
Jesper Verlaat,SV Sandhausen,Bundesliga 2,Holland,22,192,91
Milan Massop,Waasland-Beveren,Belgium Pro League,Holland,24,184,75
Aleksandar Boljevic,Waasland-Beveren,Belgium Pro League,Montenegro,22,184,77
Emir Kujovic,Fortuna Düsseldorf,Bundesliga,Sweden,30,194,88
Amigo Memela,Orlando Pirates,South African FL,South Africa,31,167,64
Pierluigi Frattali,Parma,Serie A TIM,Italy,32,185,75
Gianni Munari,Parma,Serie A TIM,Italy,35,190,84
Antonino Barillà,Parma,Serie A TIM,Italy,30,180,78
Anatole Ngamukol,Stade de Reims,Ligue 1 Conforama,Equatorial Guinea,30,178,70
Mathieu Cafaro,Stade de Reims,Ligue 1 Conforama,France,21,172,65
Dennis Kempe,FC Erzgebirge Aue,Bundesliga 2,Germany,32,187,86
Sheyi Ojo,Stade de Reims,Ligue 1 Conforama,England,21,179,82
Pascal Testroet,FC Erzgebirge Aue,Bundesliga 2,Germany,28,185,86
Philipp Riese,FC Erzgebirge Aue,Bundesliga 2,Germany,28,175,68
Samuel Asamoah,Sint-Truidense VV,Belgium Pro League,Ghana,24,163,64
Takahiro Sekine,Sint-Truidense VV,Belgium Pro League,Japan,23,167,61
Cristian Ceballos Prieto,Sint-Truidense VV,Belgium Pro League,Spain,25,177,68
Viktor Lundberg,BK Häcken,Allsvenskan,Sweden,27,187,79
Kari Arkivuo,BK Häcken,Allsvenskan,Finland,35,176,72
Erik Friberg,BK Häcken,Allsvenskan,Sweden,32,179,70
Jasmin Buric,Lech Pozna?,Ekstraklasa,Bosnia and Herzegovina,31,193,80
Nikola Vujadinovic,Lech Pozna?,Ekstraklasa,Montenegro,32,191,84
Thomas Rogne,Lech Pozna?,Ekstraklasa,Norway,28,191,86
Mounir El Allouchi,NAC Breda,Eredivisie,Morocco,24,172,72
Piotr Tomasik,Lech Pozna?,Ekstraklasa,Poland,30,177,72
Menno Koch,NAC Breda,Eredivisie,Holland,24,195,78
Paolo Fernándes Cantin,NAC Breda,Eredivisie,Spain,20,171,61
Gervane Kastaneer,NAC Breda,Eredivisie,Holland,22,185,85
Mickey van der Hart,PEC Zwolle,Eredivisie,Holland,24,190,91
Kenneth Paal,PEC Zwolle,Eredivisie,Holland,21,177,70
Thomas Lam,PEC Zwolle,Eredivisie,Finland,24,188,76
Terell Ondaan,PEC Zwolle,Eredivisie,Holland,25,171,72
Dico Koppers,PEC Zwolle,Eredivisie,Holland,26,179,72
Guus Hupperts,Sporting Lokeren,Belgium Pro League,Holland,26,176,78
Stefano Marzo,Sporting Lokeren,Belgium Pro League,Belgium,27,181,69
Tom De Sutter,Sporting Lokeren,Belgium Pro League,Belgium,33,192,87
Clemens Schoppenhauer,FC St. Pauli,Bundesliga 2,Germany,26,185,77
Luca-Milan Zander,FC St. Pauli,Bundesliga 2,Germany,23,183,73
Francesco Migliore,Cremona,Calcio B,Italy,30,173,75
Jan-Philipp Kalla,FC St. Pauli,Bundesliga 2,Germany,32,180,74
Tomoya Ugajin,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,30,172,71
Carlos Ramírez,Rionegro Águilas,Liga Dimayor,Colombia,30,183,81
Yuki Muto,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,29,170,68
Francisco Rodríguez,Rionegro Águilas,Liga Dimayor,Colombia,31,186,78
Yuki Abe,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,37,178,77
Daniel Muñoz,Rionegro Águilas,Liga Dimayor,Colombia,22,183,76
Kazuki Nagasawa,Urawa Red Diamonds,Meiji Yasuda J1 League,Japan,26,172,68
Hanyer Mosquera,Rionegro Águilas,Liga Dimayor,Colombia,31,185,85
Juan Delgado,Tondela,Liga NOS,Chile,25,177,70
David Dias Resende Bruno,Tondela,Liga NOS,Portugal,26,175,72
Eric Larsson,Malmö FF,Allsvenskan,Sweden,27,175,68
Romain Gall,Malmö FF,Allsvenskan,United States,23,176,70
Alan Eduardo Schons,Moreirense FC,Liga NOS,Brazil,25,180,74
Pedro José da Silva Trigueira,Moreirense FC,Liga NOS,Portugal,30,192,78
Daniel Lafferty,Sheffield United,EFL Championship,Northern Ireland,29,180,76
Alan Czerwinski,Zag??bie Lubin,Ekstraklasa,Poland,25,181,74
Bartosz Kopacz,Zag??bie Lubin,Ekstraklasa,Poland,26,188,85
Jakub Wójcicki,Jagiellonia Bia?ystok,Ekstraklasa,Poland,30,190,80
Dejan Lazarevic,Jagiellonia Bia?ystok,Ekstraklasa,Slovenia,28,175,65
Shaun MacDonald,Wigan Athletic,EFL Championship,Wales,30,185,72
Leonardo Da Silva Lopes,Wigan Athletic,EFL Championship,Portugal,19,168,61
Gavin Massey,Wigan Athletic,EFL Championship,England,26,180,75
Alex Bruce,Wigan Athletic,EFL Championship,Northern Ireland,34,180,81
Peter Whittingham,Blackburn Rovers,EFL Championship,England,34,178,63
Craig Conway,Blackburn Rovers,EFL Championship,Scotland,33,171,67
Dominic Samuel,Blackburn Rovers,EFL Championship,England,24,182,69
Paul Downing,Blackburn Rovers,EFL Championship,England,26,188,79
Fred Onyedinma,Millwall,EFL Championship,Nigeria,21,185,80
Jirí Skalák,Millwall,EFL Championship,Czech Republic,26,177,76
Anthony Jung,Brøndby IF,Superliga,Germany,26,185,87
Björn Kopplin,Brøndby IF,Superliga,Germany,29,183,80
Sung Keun Choi,Suwon Samsung Bluewings,K LEAGUE Classic,Korea Republic,27,181,67
Marvin Wanitzek,Karlsruher SC,3. Liga,Germany,25,179,74
Jong Sung Lee,Suwon Samsung Bluewings,K LEAGUE Classic,Korea Republic,26,187,72
Jonas Nietfeld,SSV Jahn Regensburg,Bundesliga 2,Germany,24,186,83
Kamil Wojtkowski,Wis?a Kraków,Ekstraklasa,Poland,20,173,66
Patryk Malecki,Wis?a Kraków,Ekstraklasa,Poland,30,170,70
Álex Quintanilla,Córdoba CF,LaLiga 1 I 2 I 3,Spain,28,183,79
Joaquin Araujo Delgado,Córdoba CF,LaLiga 1 I 2 I 3,Spain,30,189,81
Carlos Abad Hernández,Córdoba CF,LaLiga 1 I 2 I 3,Spain,23,193,88
Fernando Lewis,Willem II,Eredivisie,Holland,25,180,75
Daniel Crowley,Willem II,Eredivisie,England,21,170,71
Freek Heerkens,Willem II,Eredivisie,Holland,29,184,80
Elmo Lieftink,Willem II,Eredivisie,Holland,24,186,80
Chris Kum,VVV-Venlo,Eredivisie,Germany,33,183,71
Nils Röseler,VVV-Venlo,Eredivisie,Germany,26,190,70
Peter van Ooijen,VVV-Venlo,Eredivisie,Holland,26,179,75
Danny Post,VVV-Venlo,Eredivisie,Holland,29,191,94
Johnatan Opoku,VVV-Venlo,Eredivisie,Holland,28,185,82
Najib Ammari,La Spezia,Calcio B,Algeria,26,178,69
Giulio Maggiore,La Spezia,Calcio B,Italy,20,184,69
Luis Silva,Real Salt Lake,Major League Soccer,United States,29,182,79
Brooks Lennon,Real Salt Lake,Major League Soccer,United States,21,177,70
Sam Cronin,Minnesota United FC,Major League Soccer,United States,31,178,75
Matt Lampson,Minnesota United FC,Major League Soccer,United States,29,191,91
Michael Boxall,Minnesota United FC,Major League Soccer,New Zealand,30,188,91
Yasuyuki Konno,Gamba Osaka,Meiji Yasuda J1 League,Japan,35,178,73
Genta Miura,Gamba Osaka,Meiji Yasuda J1 League,Japan,23,183,77
Hiroki Fujiharu,Gamba Osaka,Meiji Yasuda J1 League,Japan,29,175,60
Juan Roa,Jaguares Fútbol Club,Liga Dimayor,Colombia,23,178,65
Juan José Mezú,Jaguares Fútbol Club,Liga Dimayor,Colombia,29,170,70
Abdoul Ba,AJ Auxerre,Dominos Ligue 2,Mauritania,24,200,96
Mickaël Barreto,AJ Auxerre,Dominos Ligue 2,France,27,174,63
Michele Cremonesi,Perugia,Calcio B,Italy,30,183,78
Luca Vido,Perugia,Calcio B,Italy,21,182,75
Juan Pablo Nieto,Once Caldas,Liga Dimayor,Colombia,25,178,74
Jamie Mackie,Oxford United,EFL League One,Scotland,33,173,71
Nils Butzen,1. FC Magdeburg,Bundesliga 2,Germany,25,179,68
Mauro Pitton,Unión de Santa Fe,SAF,Argentina,24,174,70
Damián Martínez,Unión de Santa Fe,SAF,Argentina,28,176,77
Santiago Zurbriggen,Unión de Santa Fe,SAF,Argentina,28,178,69
Hiroki Mizumoto,Sanfrecce Hiroshima,Meiji Yasuda J1 League,Japan,33,183,74
Jake Forster-Caskey,Charlton Athletic,EFL League One,England,24,178,64
Mouhamadou-Naby Sarr,Charlton Athletic,EFL League One,France,25,196,89
Darren Pratley,Charlton Athletic,EFL League One,England,33,185,69
Omar Albornoz,Deportes Tolima,Liga Dimayor,Colombia,23,183,78
Carlos Robles,Deportes Tolima,Liga Dimayor,Colombia,26,171,70
Lyle Taylor,Charlton Athletic,EFL League One,Montserrat,28,188,79
Jean Ruiz,FC Sochaux-Montbéliard,Dominos Ligue 2,France,20,188,80
José Manuel Sánchez Guillén,FC Sochaux-Montbéliard,Dominos Ligue 2,Spain,22,184,81
Maxence Prévot,FC Sochaux-Montbéliard,Dominos Ligue 2,France,21,184,70
Cristián Cuevas,FK Austria Wien,Österreichische Fußball-Bundesliga,Chile,23,173,64
Bright Edomwonyi,FK Austria Wien,Österreichische Fußball-Bundesliga,Nigeria,24,182,77
Christoph Monschein,FK Austria Wien,Österreichische Fußball-Bundesliga,Austria,25,178,74
Dominik Prokop,FK Austria Wien,Österreichische Fußball-Bundesliga,Austria,21,171,68
James Jeggo,FK Austria Wien,Österreichische Fußball-Bundesliga,Australia,26,179,66
David Boysen,IF Elfsborg,Allsvenskan,Denmark,27,179,71
Per Frick,IF Elfsborg,Allsvenskan,Sweden,26,182,81
Erling Håland,Molde FK,Eliteserien,Norway,18,193,87
Kristoffer Haugen,Molde FK,Eliteserien,Norway,24,188,77
Christoffer Remmer,Molde FK,Eliteserien,Denmark,25,182,79
Kieran Agard,Milton Keynes Dons,EFL League Two,England,28,176,67
Etzaz Hussain,Molde FK,Eliteserien,Norway,25,176,69
Alex Gilbey,Milton Keynes Dons,EFL League Two,England,23,183,73
Fredrik Aursnes,Molde FK,Eliteserien,Norway,22,179,71
Mathieu Baudry,Milton Keynes Dons,EFL League Two,France,30,188,80
Osman Sow,Milton Keynes Dons,EFL League Two,Sweden,28,193,80
Ryuta Koike,Kashiwa Reysol,Meiji Yasuda J1 League,Japan,23,169,63
Yuta Nakayama,Kashiwa Reysol,Meiji Yasuda J1 League,Japan,21,181,76
Diawandou Diagné,KAS Eupen,Belgium Pro League,Senegal,24,175,62
Rémi Mulumba,KAS Eupen,Belgium Pro League,Congo DR,25,180,76
Daiki Niwa,F.C. Tokyo,Meiji Yasuda J1 League,Japan,32,181,72
Kotaro Omori,F.C. Tokyo,Meiji Yasuda J1 League,Japan,26,170,70
Kosuke Ota,F.C. Tokyo,Meiji Yasuda J1 League,Japan,31,178,78
Kensuke Nagai,F.C. Tokyo,Meiji Yasuda J1 League,Japan,29,178,71
Iker Guarrotxena Vallejo,Pogo? Szczecin,Ekstraklasa,Spain,25,177,66
Lasha Dvali,Pogo? Szczecin,Ekstraklasa,Georgia,23,191,80
Soufian Benyamina,Pogo? Szczecin,Ekstraklasa,Germany,28,190,79
Lukasz Zaluska,Pogo? Szczecin,Ekstraklasa,Poland,36,190,88
Robert Acquafresca,FC Sion,Raiffeisen Super League,Italy,31,184,80
Augusto Pereira Loureiro,?l?sk Wroc?aw,Ekstraklasa,Portugal,31,180,80
Michal Chrapek,?l?sk Wroc?aw,Ekstraklasa,Poland,26,175,68
Kennedy Bakircioglu,Hammarby IF,Allsvenskan,Sweden,37,181,77
Jeppe Andersen,Hammarby IF,Allsvenskan,Denmark,25,178,75
Sander Svendsen,Hammarby IF,Allsvenskan,Norway,21,172,67
Tokmac Chol Nguen,Strømsgodset IF,Eliteserien,Norway,24,174,60
Nicolai Poulsen,Randers FC,Superliga,Denmark,25,176,70
Johnny Thomsen,Randers FC,Superliga,Denmark,36,180,76
Riccardo Brosco,Ascoli,Calcio B,Italy,27,190,78
Andrea Mengoni,Ascoli,Calcio B,Italy,35,187,96
Simone Andrea Ganz,Ascoli,Calcio B,Italy,25,175,67
Nahuel Valentini,Ascoli,Calcio B,Argentina,30,184,80
Emanuele Padella,Ascoli,Calcio B,Italy,30,185,74
Liam Lindsay,Barnsley,EFL League One,Scotland,22,193,89
Ivan Lanni,Ascoli,Calcio B,Italy,28,188,77
Adam Davies,Barnsley,EFL League One,Wales,26,191,80
Lorenzo Rosseti,Ascoli,Calcio B,Italy,24,182,74
Lloyd Isgrove,Barnsley,EFL League One,Wales,25,178,72
Ezekiel Fryers,Barnsley,EFL League One,England,26,183,80
Alex Mowatt,Barnsley,EFL League One,England,23,175,71
Adam Jackson,Barnsley,EFL League One,England,24,187,80
Mamadou Thiam,Barnsley,EFL League One,Senegal,23,180,82
Simon Skarlatidis,FC Würzburger Kickers,3. Liga,Germany,27,174,71
Patrick Göbel,FC Würzburger Kickers,3. Liga,Germany,25,169,68
Harold Rivera,Alianza Petrolera,Liga Dimayor,Colombia,24,175,74
Emanuele Suagher,Carpi,Calcio B,Italy,25,192,82
Roger Torres,Alianza Petrolera,Liga Dimayor,Colombia,27,169,67
Fabio Concas,Carpi,Calcio B,Italy,31,177,62
Maicol Balanta,Alianza Petrolera,Liga Dimayor,Colombia,28,178,77
Stefan Wannenwetsch,FC Hansa Rostock,3. Liga,Germany,26,177,73
Julian Riedel,FC Hansa Rostock,3. Liga,Germany,27,182,76
Tobias Sana,Aarhus GF,Superliga,Sweden,29,173,64
André Calisir,IFK Göteborg,Allsvenskan,Sweden,28,180,74
Cebio Soukou,FC Hansa Rostock,3. Liga,Germany,26,186,82
Manuel Farrona Pulido,VfL Osnabrück,3. Liga,Germany,25,175,70
Martin Kobylanski,SC Preußen Münster,3. Liga,Poland,24,178,75
Simon Scherder,SC Preußen Münster,3. Liga,Germany,25,189,86
Lion Schweers,SC Preußen Münster,3. Liga,Germany,22,188,81
Luc Kassi,Stabæk Fotball,Eliteserien,Côte d'Ivoire,24,179,74
Alliou Dembele,Athlétic Club Ajaccio,Dominos Ligue 2,France,30,168,65
Adrian Winter,FC Zürich,Raiffeisen Super League,Switzerland,32,178,75
Jérôme Hergault,Athlétic Club Ajaccio,Dominos Ligue 2,France,32,185,80
Jagne Pa Modou,FC Zürich,Raiffeisen Super League,Gambia,28,176,79
Yanick Brecher,FC Zürich,Raiffeisen Super League,Switzerland,25,196,88
Hekuran Kryeziu,FC Zürich,Raiffeisen Super League,Kosovo,25,181,75
Kevin Rüegg,FC Zürich,Raiffeisen Super League,Switzerland,20,173,77
Magnus Lekven,Vålerenga Fotball,Eliteserien,Norway,30,177,72
Felipe Carvalho,Vålerenga Fotball,Eliteserien,Uruguay,25,188,96
Daniel Braaten,SK Brann,Eliteserien,Norway,36,184,94
Jonatan Tollås Nation,Vålerenga Fotball,Eliteserien,Norway,28,188,86
Ludcinio Marengo,SK Brann,Eliteserien,Holland,27,175,70
Abdisalam Ibrahim,Vålerenga Fotball,Eliteserien,Norway,27,185,71
Daouda Karamoko Bamba,SK Brann,Eliteserien,Côte d'Ivoire,23,184,75
Amin Nouri,Vålerenga Fotball,Eliteserien,Norway,28,180,77
Thomas Grøgaard,SK Brann,Eliteserien,Norway,24,180,71
Jone Samuelsen,Odds BK,Eliteserien,Norway,34,172,70
Jae Hyeon Choe,Jeonnam Dragons,K LEAGUE Classic,Korea Republic,24,184,77
James Donachie,Jeonnam Dragons,K LEAGUE Classic,Australia,25,195,87
Philipp Netzer,SCR Altach,Österreichische Fußball-Bundesliga,Austria,33,188,80
Andreas Lukse,SCR Altach,Österreichische Fußball-Bundesliga,Austria,30,187,82
Matt Gilks,Scunthorpe United,EFL League One,Scotland,36,185,81
Josh Morris,Scunthorpe United,EFL League One,England,27,182,72
Matty Lund,Scunthorpe United,EFL League One,Northern Ireland,27,183,76
Ryan Colclough,Scunthorpe United,EFL League One,England,23,184,73
Baptiste Aloé,Valenciennes FC,Dominos Ligue 2,France,24,184,77
Loïc Nestor,Valenciennes FC,Dominos Ligue 2,France,29,179,70
Karim Ziani,US Orléans Loiret Football,Dominos Ligue 2,Algeria,36,169,66
Cédric Cambon,US Orléans Loiret Football,Dominos Ligue 2,France,32,184,76
Hattan Bahebri,Al Shabab,Saudi Professional League,Saudi Arabia,26,171,67
Mame Ousmane Cissokho,US Orléans Loiret Football,Dominos Ligue 2,Senegal,31,175,68
Gonzalo Díaz,Defensa y Justicia,SAF,Argentina,28,169,72
Grégory Bourillon,La Berrichonne de Châteauroux,Dominos Ligue 2,France,34,187,78
Marco Pinato,Venezia,Calcio B,Italy,23,175,66
Davide Marsura,Venezia,Calcio B,Italy,24,187,78
Sascha Traut,VfR Aalen,3. Liga,Germany,33,183,80
Thomas Geyer,VfR Aalen,3. Liga,Germany,27,179,71
Christian Jakobsen,SønderjyskE,Superliga,Denmark,25,189,84
Niki Zimling,SønderjyskE,Superliga,Denmark,33,178,73
Jordan Larsson,IFK Norrköping,Allsvenskan,Sweden,21,175,69
Alexander Jakobsen,IFK Norrköping,Allsvenskan,Egypt,24,180,73
Simon Skrabb,IFK Norrköping,Allsvenskan,Finland,23,174,75
Cyriaque Rivieyran,Chamois Niortais Football Club,Dominos Ligue 2,France,27,172,68
Saturnin Allagbé,Chamois Niortais Football Club,Dominos Ligue 2,Benin,24,187,71
Danny Swanson,St. Johnstone FC,Scottish Premiership,Scotland,31,168,59
Nabil Aankour,Arka Gdynia,Ekstraklasa,Morocco,25,172,70
Michael Orozco,Lobos B.U.A.P.,LIGA Bancomer MX,United States,32,176,76
Francisco Torres,Lobos B.U.A.P.,LIGA Bancomer MX,Mexico,35,171,70
Armando Vargas,Deportivo Pasto,Liga Dimayor,Colombia,29,170,70
José De la Cuesta,Deportivo Pasto,Liga Dimayor,Colombia,35,184,73
John Hernández,Deportivo Pasto,Liga Dimayor,Colombia,32,176,73
Nelson Ramos,Atlético Bucaramanga,Liga Dimayor,Colombia,36,188,83
Marinaldo dos Santos Oliveira,Al Fayha,Saudi Professional League,Brazil,28,185,75
Curtis Edwards,Östersunds FK,Allsvenskan,England,24,180,70
Florian Kamberi,Hibernian,Scottish Premiership,Switzerland,23,189,86
Olly Lee,Heart of Midlothian,Scottish Premiership,England,27,181,80
Emerson Hyndman,Hibernian,Scottish Premiership,United States,22,170,61
Zdenek Zlámal,Heart of Midlothian,Scottish Premiership,Czech Republic,32,193,92
Demetri Mitchell,Heart of Midlothian,Scottish Premiership,England,21,176,71
Uche Ikpeazu,Heart of Midlothian,Scottish Premiership,England,23,191,78
Manuel Perez,Clermont Foot 63,Dominos Ligue 2,France,27,180,71
Julien Laporte,Clermont Foot 63,Dominos Ligue 2,France,24,185,82
Franck Honorat,Clermont Foot 63,Dominos Ligue 2,France,22,180,70
Jonathan Damián Iglesias,Clermont Foot 63,Dominos Ligue 2,Uruguay,29,171,69
Michael Turner,Southend United,EFL League One,England,34,193,90
Stephen McLaughlin,Southend United,EFL League One,Republic of Ireland,28,175,77
Jason Demetriou,Southend United,EFL League One,Cyprus,30,180,68
Luke Hyam,Southend United,EFL League One,England,26,178,72
Jérémy Blayac,Gazélec Football Club Ajaccio,Dominos Ligue 2,France,35,187,80
Aleksandar Sedlar,Piast Gliwice,Ekstraklasa,Serbia,26,178,79
Diego Gómez,Atlético Huila,Liga Dimayor,Colombia,29,172,65
Bruno Godeau,Royal Excel Mouscron,Belgium Pro League,Belgium,26,190,78
Kirk Broadfoot,Kilmarnock,Scottish Premiership,Scotland,34,191,89
Rory McKenzie,Kilmarnock,Scottish Premiership,Scotland,24,175,75
Chris Burke,Kilmarnock,Scottish Premiership,Scotland,34,175,68
Jack Byrne,Kilmarnock,Scottish Premiership,Republic of Ireland,22,176,73
Gary Dicker,Kilmarnock,Scottish Premiership,Republic of Ireland,32,183,81
Godsway Donyoh,FC Nordsjælland,Superliga,Ghana,23,179,71
Karlo Bartolec,FC Nordsjælland,Superliga,Croatia,23,176,78
David Vaughan,Notts County,EFL League Two,Wales,35,168,70
David Perkins,Rochdale,EFL League One,England,36,168,76
Woo Jae Jeong,Daegu FC,K LEAGUE Classic,Korea Republic,26,179,70
Seung Beom Ko,Daegu FC,K LEAGUE Classic,Korea Republic,24,175,72
Cesar Fernando Silva Melo,Daegu FC,K LEAGUE Classic,Brazil,28,177,74
Renzo Vera,Patronato,SAF,Argentina,35,183,86
Matías Garrido,Patronato,SAF,Argentina,32,170,67
Toni Wachsmuth,FSV Zwickau,3. Liga,Germany,31,182,80
Lautaro Geminiani,Patronato,SAF,Argentina,27,178,74
Johannes Brinkies,FSV Zwickau,3. Liga,Germany,25,188,87
René Lange,FSV Zwickau,3. Liga,Germany,29,178,76
Beom Seok Oh,Gangwon FC,K LEAGUE Classic,Korea Republic,34,181,77
Ho Jun Kim,Gangwon FC,K LEAGUE Classic,Korea Republic,34,190,89
Bum Young Lee,Gangwon FC,K LEAGUE Classic,Korea Republic,29,194,90
Chang Jin Moon,Gangwon FC,K LEAGUE Classic,Korea Republic,25,170,63
Oh Gyu Kim,Gangwon FC,K LEAGUE Classic,Korea Republic,29,183,70
Dylan McGowan,Gangwon FC,K LEAGUE Classic,Australia,27,186,80
Joackim Jørgensen,Sarpsborg 08 FF,Eliteserien,Norway,30,183,76
Joachim Thomassen,Sarpsborg 08 FF,Eliteserien,Norway,30,180,78
Patrick Mortensen,Sarpsborg 08 FF,Eliteserien,Denmark,29,188,81
Nicolás Palacios,Patriotas Boyacá FC,Liga Dimayor,Colombia,26,190,72
James Holland,LASK Linz,Österreichische Fußball-Bundesliga,Australia,29,182,76
Peter Michorl,LASK Linz,Österreichische Fußball-Bundesliga,Austria,23,176,71
Anders Jacobsen,Odense Boldklub,Superliga,Denmark,28,182,76
Christian Grindheim,FK Haugesund,Eliteserien,Norway,35,179,74
Cornel Râpa,Cracovia,Ekstraklasa,Romania,28,180,72
Miroslav Covilo,Cracovia,Ekstraklasa,Serbia,32,193,87
Ezequiel Bonifacio,Gimnasia y Esgrima La Plata,SAF,Argentina,24,170,70
Michal Helik,Cracovia,Ekstraklasa,Poland,23,191,80
Seon Min Moon,Incheon United FC,K LEAGUE Classic,Korea Republic,26,172,68
Francesco Fedato,Foggia,Calcio B,Italy,25,183,73
Jhonnattann Benites,Al Taawoun,Saudi Professional League,Brazil,29,165,65
Ricardo Jorge Tavares Machado,Al Taawoun,Saudi Professional League,Portugal,30,190,80
Tommy Rowe,Doncaster Rovers,EFL League One,England,30,180,81
Ali Crawford,Doncaster Rovers,EFL League One,Scotland,27,179,63
Kennedy Igboananike,Örebro SK,Allsvenskan,Nigeria,29,175,70
Joe Edwards,Walsall,EFL League One,England,27,173,73
Nordin Gerzic,Örebro SK,Allsvenskan,Sweden,34,175,79
George Dobson,Walsall,EFL League One,England,20,185,75
Zeli Ismail,Walsall,EFL League One,England,24,178,75
Ryan Tafazolli,Peterborough United,EFL League One,England,27,196,93
Alex Woodyard,Peterborough United,EFL League One,England,25,175,58
Jason Cummings,Peterborough United,EFL League One,Scotland,23,178,63
Kyle Bennett,Bristol Rovers,EFL League One,England,28,165,61
Ed Upson,Bristol Rovers,EFL League One,England,28,180,73
Liam Sercombe,Bristol Rovers,EFL League One,England,28,178,69
Chris Lines,Bristol Rovers,EFL League One,England,32,188,79
Eloge Koffi Yao Guy,FC Lugano,Raiffeisen Super League,Côte d'Ivoire,22,182,76
Matej Pucko,Korona Kielce,Ekstraklasa,Slovenia,25,176,68
Elia Soriano,Korona Kielce,Ekstraklasa,Germany,29,184,82
Bartosz Rymaniak,Korona Kielce,Ekstraklasa,Poland,28,189,80
Ken Kallaste,Korona Kielce,Ekstraklasa,Estonia,30,182,80
Paul Izzo,Adelaide United,Hyundai A-League,Australia,23,184,81
João Pedro Pereira dos Santos,Al Fateh,Saudi Professional League,Brazil,25,180,88
Mohammed Saeid,IK Sirius,Allsvenskan,Sweden,27,170,64
Robert Åhman Persson,IK Sirius,Allsvenskan,Sweden,31,188,84
Guillaume Faivre,FC Thun,Raiffeisen Super League,Switzerland,31,188,83
Roy Gelmi,FC Thun,Raiffeisen Super League,Switzerland,23,188,78
Tony Andreu,Coventry City,EFL League One,France,30,178,73
Ogou Edmond Akichi,Paris FC,Dominos Ligue 2,Côte d'Ivoire,28,178,75
Marcel Ritzmaier,Wolfsberger AC,Österreichische Fußball-Bundesliga,Austria,25,180,75
Lalaina Nomenjanahary,Paris FC,Dominos Ligue 2,Madagascar,32,177,76
Raïs M'Bolhi,Ettifaq FC,Saudi Professional League,Algeria,32,189,80
Mohammed Al Kuwaykibi,Ettifaq FC,Saudi Professional League,Saudi Arabia,23,168,61
George Saunders,Envigado FC,Liga Dimayor,England,29,176,74
Duván Vergara,Envigado FC,Liga Dimayor,Colombia,22,172,72
Glen Kamara,Dundee FC,Scottish Premiership,Finland,22,183,73
